USE_LICENSE_URL,GUID,SCIENTIFIC_NAME,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,MONTH,YEAR,DEC_LAT,DEC_LONG,COORDINATEUNCERTAINTYINMETERS
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:23749,Leucosticte australis,United States,Colorado,Loveland Pass,28-Jul-42,7,1942,39.66361,-105.87861,2000
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:23750,Leucosticte australis,United States,Colorado,Loveland Pass,28-Jul-42,7,1942,39.66361,-105.87861,2000
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:23751,Leucosticte australis,United States,Colorado,Loveland Pass,28-Jul-42,7,1942,39.66361,-105.87861,2000
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:23752,Leucosticte australis,United States,Colorado,Loveland Pass,28-Jul-42,7,1942,39.66361,-105.87861,2000
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:23753,Leucosticte australis,United States,Colorado,Loveland Pass,28-Jul-42,7,1942,39.66361,-105.87861,2000
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:22734,Leucosticte australis,United States,Colorado,Mount Evans,14-Jun-41,6,1941,39.58990512,-105.6437898,5000
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:22735,Leucosticte australis,United States,Colorado,Mount Evans,14-Jun-41,6,1941,39.58990512,-105.6437898,5000
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:22736,Leucosticte arctoa,United States,Colorado,Mount Evans,14-Jun-41,6,1941,39.58990512,-105.6437898,5000
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:22738,Leucosticte arctoa,United States,Colorado,Mount Evans,14-Jun-41,6,1941,39.58990512,-105.6437898,5000
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:22737,Leucosticte australis,United States,Colorado,Mount Evans,14-Jun-41,6,1941,39.58990512,-105.6437898,5000
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:4724,Leucosticte arctoa,United States,Colorado,"Mt. Bross, near Alma",12-Jul-15,7,1915,39.33528,-106.10694,3060
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:4725,Leucosticte arctoa,United States,Colorado,"Mt. Bross, near Alma",12-Jul-15,7,1915,39.33528,-106.10694,3060
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:4726,Leucosticte arctoa,United States,Colorado,"Mt. Bross, near Alma",12-Jul-15,7,1915,39.33528,-106.10694,3060
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:4723,Leucosticte australis,United States,Colorado,"Mt. Bross, near Alma",11-Jul-15,7,1915,39.33528,-106.10694,3060
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:5226,Leucosticte arctoa,United States,Colorado,"Mt. Bross, near Alma",15-Jul-16,7,1916,39.33528,-106.10694,3060
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:5227,Leucosticte arctoa,United States,Colorado,"Mt. Bross, near Alma",15-Jul-16,7,1916,39.33528,-106.10694,3060
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:5228,Leucosticte australis,United States,Colorado,"Mt. Bross, near Alma",10-Jul-16,7,1916,39.33528,-106.10694,3060
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:5230,Leucosticte arctoa,United States,Colorado,"Mt. Bross, near Alma",15-Jul-16,7,1916,39.33528,-106.10694,3060
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:5229,Leucosticte arctoa,United States,Colorado,"Mt. Bross, near Alma",15-Jul-16,7,1916,39.33528,-106.10694,3060
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:4728,Leucosticte australis,United States,Colorado,"Mt. Bross, near Alma",11-Jul-15,7,1915,39.33528,-106.10694,3060
http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,DMNS:Bird:4727,Leucosticte australis,United States,Colorado,"Mt. Bross, near Alma",14-Jul-15,7,1915,39.33528,-106.10694,3060
