USE_LICENSE_URL,GUID,SCIENTIFIC_NAME,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,MONTH,YEAR,DEC_LAT,DEC_LONG,COORDINATEUNCERTAINTYINMETERS
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161840,Leucosticte australis,United States,Colorado,cirque on W side of Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,1000
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161841,Leucosticte australis,United States,Colorado,cirque on W side of Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,1000
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161842,Leucosticte australis,United States,Colorado,cirque on W side of Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,1000
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161843,Leucosticte australis,United States,Colorado,cirque on W side of Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,1000
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161844,Leucosticte australis,United States,Colorado,cirque on W side of Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,1000
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161845,Leucosticte australis,United States,Colorado,cirque on W side of Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,1000
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161846,Leucosticte australis,United States,Colorado,cirque on W side of Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,1000
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161847,Leucosticte australis,United States,Colorado,cirque on W side of Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,1000
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161848,Leucosticte australis,United States,Colorado,cirque on W side of Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,1000
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161849,Leucosticte australis,United States,Colorado,cirque on W side of Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,1000
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161850,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161851,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161852,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161853,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161854,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161855,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161856,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161857,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161858,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161859,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161860,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161861,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161862,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161863,Leucosticte australis,United States,Colorado,Mt. Audubon,3-Jul-70,7,1970,40.09887467,-105.6158335,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161885,Leucosticte australis,United States,Colorado,Mt. Evans,13-Jul-70,7,1970,39.58859413,-105.64278,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161886,Leucosticte australis,United States,Colorado,Mt. Evans,13-Jul-70,7,1970,39.58859413,-105.64278,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161887,Leucosticte australis,United States,Colorado,Mt. Evans,13-Jul-70,7,1970,39.58859413,-105.64278,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161888,Leucosticte australis,United States,Colorado,Mt. Evans,13-Jul-70,7,1970,39.58859413,-105.64278,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161889,Leucosticte australis,United States,Colorado,Mt. Evans,13-Jul-70,7,1970,39.58859413,-105.64278,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161890,Leucosticte australis,United States,Colorado,Mt. Evans,13-Jul-70,7,1970,39.58859413,-105.64278,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161891,Leucosticte australis,United States,Colorado,Mt. Evans,13-Jul-70,7,1970,39.58859413,-105.64278,500
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MVZ:Bird:161892,Leucosticte australis,United States,Colorado,Mt. Evans,13-Jul-70,7,1970,39.58859413,-105.64278,500
